Exit Reason,Enhanced MeanReversion Count,Enhanced MeanReversion Win Count,Enhanced MeanReversion Loss Count,Enhanced MeanReversion Win Rate (%)
time_exit,2,2,0,100.00%
take_profit,1,1,0,100.00%
