symbol,unrealized_pl,unrealized_plpc,rsi,rsi_score,macd,macd_signal,macd_score,upper_band,lower_band,sma15,close,bb_score,long_score,short_score,current_direction,current_score
HON,-42.88,-0.017236112227671,49.05176832393643,0.5237057919015893,-0.0715926401101683,-0.12696359711179042,1.0,215.0362651602011,205.35440150646562,210.19533333333337,210.89,0.4282507282160908,0.628412028856913,0.37158797114308695,NEUTRAL,0.0
AMD,-40.6,-0.0160160318111528,67.88951230038842,0.05276219249028957,0.2728146114756953,-0.737824000022039,1.0,107.3802981684209,94.53970183157912,100.96000000000001,107.14,0.01871394148038419,0.3233142343392405,0.6766857656607594,SHORT,0.6766857656607594
ELV,-35.69,-0.0138872135689244,74.21983089930823,0.0,9.68535293344479,8.613457937598852,1.0,443.1011726548847,385.1348273451153,414.118,434.28,0.1521774851898079,0.36087099407592316,0.6391290059240768,SHORT,0.6391290059240768
UNH,-40.57,-0.0134152511267554,69.27730542838455,0.018067364290386245,3.869258485985881,0.7443290244414033,1.0,512.6184402330945,461.86955976690547,487.24399999999997,511.3,0.025979690999742622,0.3158120856870129,0.6841879143129871,SHORT,0.6841879143129871
COP,-31.76,-0.0131053378668339,90.73083778966131,0.0,1.5147421522347173,0.7825717433414165,1.0,105.01286702660083,86.35513297339917,95.684,102.31,0.14486577088588182,0.3579463083543527,0.6420536916456473,SHORT,0.6420536916456473
BA,-23.96,-0.011685068861925,70.27027027027027,0.0,-0.5072501250340054,-2.612403397830401,1.0,177.25555233018716,146.79378100314617,162.02466666666666,172.83,0.1452821729463437,0.35811286917853746,0.6418871308214625,SHORT,0.6418871308214625
CVX,-27.55,-0.0112780415916162,77.33580018501388,0.0,2.0374103034886843,1.0753960784495118,1.0,165.10217908284906,147.84582091715097,156.47400000000002,164.77,0.019249663205840983,0.3076998652823364,0.6923001347176636,SHORT,0.6923001347176636
XOM,-26.64,-0.0110616988676707,78.01082543978349,0.0,1.4748600298991619,0.901995241636179,1.0,116.8053762916461,104.27195704168724,110.53866666666667,115.9,0.07223697489007752,0.328894789956031,0.671105210043969,SHORT,0.671105210043969
