date,symbol,score,direction,position_size,market_regime,technical_score,seasonal_score,technical_weight,seasonality_weight,seasonality_confidence,return,max_return,max_drawdown,win
2023-01-02,ETN,0.7406318061551004,LONG,0.05721895418465302,mixed,0.7196019526001085,1,0.925,0.075,0.3,0.016862123613312182,0.02123613312202849,-0.003486529318542069,1.0
2023-01-02,PLD,0.7060000761150902,LONG,0.056180002283452705,mixed,0.6821622444487462,1,0.925,0.075,0.3,0.029816310231608835,0.037891560919336195,0.0,1.0
2023-01-02,INTC,0.6885001789635236,LONG,0.05565500536890571,mixed,0.6632434367173228,1,0.925,0.075,0.3,0.10138421249532363,0.10138421249532363,0.0,1.0
2023-01-02,NVDA,0.6798667399025082,LONG,0.05539600219707525,mixed,0.6539099890837927,1,0.925,0.075,0.3,0.11135172895564091,0.11135172895564091,-0.0034928396786587496,1.0
2023-01-02,META,0.6788240810081355,LONG,0.05536472243024407,mixed,0.6527827902790655,1,0.925,0.075,0.3,0.06613756613756626,0.06613756613756626,0.0,1.0
2023-01-02,AMD,0.67518381843605,LONG,0.0552555145530815,mixed,0.6488473712822163,1,0.925,0.075,0.3,0.06294907841299596,0.06294907841299596,-0.026398000624804716,1.0
2023-01-02,GE,0.6718969469104927,LONG,0.055156908407314784,mixed,0.6452939966599922,1,0.925,0.075,0.3,-0.11426217933631451,0.0,-0.17392327606495647,0.0
2023-01-02,ACN,0.6673544855311495,LONG,0.055020634565934486,mixed,0.6403832276012428,1,0.925,0.075,0.3,0.017279656626951884,0.017279656626951884,-0.02693702360689696,1.0
2023-01-02,INTU,0.6658847885548906,LONG,0.05497654365664672,mixed,0.6387943660052872,1,0.925,0.075,0.3,-0.006390919781174907,0.010634490515874962,-0.039777084718032624,0.0
2023-01-02,EOG,0.6648107391553795,LONG,0.054944322174661386,mixed,0.6376332315193292,1,0.925,0.075,0.3,0.025391723583768552,0.02651667336279628,-0.0007231820008035629,1.0
2023-01-02,ADBE,0.6647209582747261,LONG,0.05494162874824179,mixed,0.637536171107812,1,0.925,0.075,0.3,0.005283153270806045,0.01501840199453877,-0.02516917962721126,1.0
2023-01-02,MSFT,0.6637062054948113,LONG,0.05491118616484434,mixed,0.6364391410754717,1,0.925,0.075,0.3,-0.044786710075966345,0.0,-0.0720844811753903,0.0
2023-01-02,SO,0.6598080616340405,LONG,0.054794241849021215,mixed,0.63222493149626,1,0.925,0.075,0.3,-0.010987482614742784,0.008484005563282328,-0.02114047287899875,0.0
2023-01-02,DE,0.6578166308548093,LONG,0.05473449892564428,mixed,0.6300720333565507,1,0.925,0.075,0.3,0.030969384147634837,0.030969384147634837,-0.022531758938461904,1.0
2023-01-02,TSLA,0.6575574890805971,LONG,0.05472672467241792,mixed,0.629791880087132,1,0.925,0.075,0.3,0.09944495837187789,0.10795559666975026,0.0,1.0
2023-01-02,CB,0.6555381002038443,LONG,0.05466614300611533,mixed,0.6276087569771289,1,0.925,0.075,0.3,0.018118403768627982,0.03664447162205011,0.0,1.0
2023-01-02,ISRG,0.6544927709255587,LONG,0.05463478312776676,mixed,0.6264786712708743,1,0.925,0.075,0.3,0.021571358656778294,0.021571358656778294,-0.0026352445130444174,1.0
