date,symbol,score,direction,position_size,market_regime,technical_score,seasonal_score,technical_weight,seasonality_weight,seasonality_confidence,return,max_return,max_drawdown,win
2023-10-02,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,0.03582841096155711,0.038442916626319344,-0.030889900261450547,1.0
2023-10-02,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,0.01692047377326569,0.020586576424139788,0.0,1.0
2023-10-02,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.021188511629244185,0.03677083632809137,-0.007704913319725173,1.0
2023-10-02,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.016857572460667797,0.022664205469237166,-0.011882204809114614,1.0
2023-10-02,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,0.0376116289681247,0.0376116289681247,-0.01916433087803923,1.0
2023-10-02,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.024341964476781573,0.024341964476781573,-0.002835437620372358,1.0
2023-10-02,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,0.013512271348469516,0.024634617152311723,-0.00946778196525417,1.0
2023-10-02,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,-0.020193810565801752,0.0,-0.030259456080024852,0.0
2023-10-02,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.01963876685066283,0.01963876685066283,-0.01990161841462961,1.0
2023-10-02,TMO,0.5996953047411809,LONG,0.05299085914223543,trending,0.5873147471558566,1,0.97,0.030000000000000027,0.3,0.000685774218923284,0.013433106758909958,0.0,1.0
