Symbol,Direction,Entry Price,Entry Time,Exit Price,Exit Time,P/L,Reason
AMZN,short,112.91,2023-02-02 05:00:00+00:00,101.22180714285714,2023-02-06 05:00:00+00:00,517.5889140529117,take_profit
MSFT,short,264.6,2023-02-02 05:00:00+00:00,276.6915,2023-02-08 05:00:00+00:00,-228.48639455782302,stop_loss
TSLA,short,188.27,2023-02-02 05:00:00+00:00,208.33436857142857,2023-02-09 05:00:00+00:00,-532.8615438314272,stop_loss
AMD,short,88.31,2023-02-02 05:00:00+00:00,76.9420142857143,2023-02-21 05:00:00+00:00,643.6409078408849,take_profit
NVDA,short,217.09,2023-02-02 05:00:00+00:00,234.7987857142857,2023-02-23 05:00:00+00:00,-407.8673756111684,stop_loss
TSLA,short,207.32,2023-02-09 05:00:00+00:00,170.88834285714285,2023-03-10 05:00:00+00:00,878.6334445026324,take_profit
META,short,188.77,2023-02-02 05:00:00+00:00,201.89007142857142,2023-03-16 04:00:00+00:00,-347.51473826803533,stop_loss
AMD,short,87.45,2023-03-14 04:00:00+00:00,94.06554,2023-03-16 04:00:00+00:00,-378.2469982847339,stop_loss
MSFT,short,266.73,2023-02-08 05:00:00+00:00,280.53985714285716,2023-03-17 04:00:00+00:00,-258.8733390105564,stop_loss
AAPL,short,150.82,2023-02-02 05:00:00+00:00,157.38035714285712,2023-03-20 04:00:00+00:00,-217.48962812813716,stop_loss
AMZN,long,93.5,2023-02-24 05:00:00+00:00,103.01250714285715,2023-03-30 04:00:00+00:00,508.69022154316286,take_profit
TSLA,long,173.44,2023-03-10 05:00:00+00:00,203.53591428571426,2023-03-31 04:00:00+00:00,867.6174551924083,take_profit
AAPL,short,159.28,2023-03-21 04:00:00+00:00,165.9098242857143,2023-04-03 04:00:00+00:00,-208.11854236923364,stop_loss
NVDA,short,261.99,2023-03-21 04:00:00+00:00,279.84179571428575,2023-04-03 04:00:00+00:00,-340.69612798743736,stop_loss
MSFT,short,279.43,2023-03-17 04:00:00+00:00,291.16107571428574,2023-04-06 04:00:00+00:00,-209.91081333940053,stop_loss
TSLA,short,207.46,2023-03-31 04:00:00+00:00,181.90430714285714,2023-04-06 04:00:00+00:00,615.9185591714757,take_profit
META,short,204.93,2023-03-16 04:00:00+00:00,217.97052428571428,2023-04-13 04:00:00+00:00,-318.1702114310806,stop_loss
AMZN,short,102.0,2023-03-30 04:00:00+00:00,108.00837428571428,2023-04-21 04:00:00+00:00,-294.52815126050405,stop_loss
AMD,short,96.6,2023-03-16 04:00:00+00:00,84.7416,2023-04-25 04:00:00+00:00,613.7888198757759,take_profit
META,short,220.35,2023-04-13 04:00:00+00:00,229.51869857142856,2023-04-27 04:00:00+00:00,-208.04852669454422,stop_loss
AAPL,short,166.17,2023-04-03 04:00:00+00:00,171.76222714285714,2023-05-05 04:00:00+00:00,-168.2682536816861,stop_loss
AMD,long,83.8,2023-04-25 04:00:00+00:00,92.72163571428571,2023-05-08 04:00:00+00:00,532.3171667234913,take_profit
AMD,short,97.4,2023-05-15 04:00:00+00:00,105.77281571428571,2023-05-18 04:00:00+00:00,-429.81600176004656,stop_loss
META,short,238.56,2023-04-27 04:00:00+00:00,250.52884285714285,2023-05-22 04:00:00+00:00,-250.8560290313306,stop_loss
TSLA,long,162.99,2023-04-20 04:00:00+00:00,189.69893571428574,2023-05-23 04:00:00+00:00,819.3427730009734,take_profit
MSFT,short,310.65,2023-05-05 04:00:00+00:00,322.8484457142857,2023-05-25 04:00:00+00:00,-196.33744912740542,stop_loss
NVDA,short,316.78,2023-05-18 04:00:00+00:00,333.48806285714284,2023-05-25 04:00:00+00:00,-263.71713582206684,stop_loss
AMD,short,107.93,2023-05-18 04:00:00+00:00,116.82674428571428,2023-05-25 04:00:00+00:00,-412.1534460165977,stop_loss
TSLA,short,185.77,2023-05-23 04:00:00+00:00,197.71793714285715,2023-05-26 04:00:00+00:00,-321.57875714208814,stop_loss
META,short,249.21,2023-05-24 04:00:00+00:00,259.2279642857143,2023-05-26 04:00:00+00:00,-200.99442810710386,stop_loss
NVDA,short,379.8,2023-05-25 04:00:00+00:00,405.81606857142856,2023-05-30 04:00:00+00:00,-342.49695328368284,stop_loss
AMD,short,120.35,2023-05-25 04:00:00+00:00,129.01629285714284,2023-05-30 04:00:00+00:00,-360.04540328802864,stop_loss
AMZN,short,118.15,2023-05-18 04:00:00+00:00,123.18330142857144,2023-06-01 04:00:00+00:00,-213.00471555528708,stop_loss
TSLA,short,193.17,2023-05-26 04:00:00+00:00,206.4525214285714,2023-06-01 04:00:00+00:00,-343.8039402746652,stop_loss
META,short,262.04,2023-05-26 04:00:00+00:00,272.81534,2023-06-01 04:00:00+00:00,-205.60486948557414,stop_loss
TSLA,short,207.52,2023-06-01 04:00:00+00:00,222.19237857142858,2023-06-07 04:00:00+00:00,-353.5172169291771,stop_loss
TSLA,short,224.57,2023-06-07 04:00:00+00:00,240.19909142857142,2023-06-09 04:00:00+00:00,-347.9781678000496,stop_loss
MSFT,short,332.89,2023-05-26 04:00:00+00:00,342.69934428571423,2023-06-15 04:00:00+00:00,-147.3361213270787,stop_loss
NVDA,short,401.11,2023-05-30 04:00:00+00:00,431.0359257142857,2023-06-15 04:00:00+00:00,-373.03888851294795,stop_loss
AAPL,short,180.95,2023-06-02 04:00:00+00:00,185.20208857142856,2023-06-15 04:00:00+00:00,-117.49346701930293,stop_loss
META,short,272.61,2023-06-01 04:00:00+00:00,284.2146257142857,2023-06-16 04:00:00+00:00,-212.84299391595505,stop_loss
TSLA,short,244.4,2023-06-09 04:00:00+00:00,262.54009142857143,2023-06-16 04:00:00+00:00,-371.1148000935234,stop_loss
AMZN,short,122.77,2023-06-01 04:00:00+00:00,128.55910857142857,2023-06-22 04:00:00+00:00,-235.77048836965756,stop_loss
AMD,short,125.27,2023-05-30 04:00:00+00:00,109.7240857142857,2023-06-23 04:00:00+00:00,620.4962994218205,take_profit
