,combined_score,technical_score,seasonal_score,sector_boost,technical_direction,direction,momentum_score,trend_score,volatility_score,volume_score,position_size,symbol,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-05-02 04:00:00+00:00,0.5745958335550679,0.6065654765072399,0.5,0,NEUTRAL,NEUTRAL,0.5257458975634013,0.5,0.8,0.6005160084655583,0.05223787500665204,TSLA,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5669625160495023,0.5956607372135748,0.5,0,NEUTRAL,NEUTRAL,0.4593137254901961,0.4401943993826817,0.8,0.6831348239814214,0.05200887548148507,AMD,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5499361364729025,0.5713373378184322,0.5,0,NEUTRAL,NEUTRAL,0.33198874296435277,0.7303345888959403,0.8,0.42302601941343576,0.05149808409418708,AMZN,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5443725382282637,0.563389340326091,0.5,0,LONG,LONG,0.6042737106432295,0.49734678180424957,0.5688871230443524,0.5830497458125324,0.051331176146847915,DE,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5443177398104732,0.5633110568721046,0.5,0,SHORT,SHORT,0.55,0.5,0.8,0.40324422748841815,0.04106362575545136,VLO,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5386795564085264,0.5552565091550377,0.5,0,SHORT,SHORT,0.55,0.43227545973023207,0.7957846174244256,0.4429659594654931,0.04092830935380464,CCI,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5366356905481348,0.5523367007830496,0.5,0,NEUTRAL,NEUTRAL,0.4861882046834345,0.5872174632168232,0.5030658216998285,0.6328753135321122,0.051099070716444046,NEE,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-02 04:00:00+00:00,0.5260822345756647,0.5372603351080925,0.5,0,NEUTRAL,NEUTRAL,0.3445839311334287,0.8,0.37504536874519967,0.6294120405537416,0.05078246703726994,SO,MIXED,2023-05-02 04:00:00+00:00,2023-05-08 04:00:00+00:00,73.15,74.57,0.019412166780587662,0.0009857977196571796
2023-05-03 04:00:00+00:00,0.5866929992774693,0.6238471418249563,0.5,0,NEUTRAL,NEUTRAL,0.3279073941134243,0.8,0.7752551998528471,0.5922259733335538,0.05260078997832408,NVDA,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5770313072256567,0.6100447246080809,0.5,0,NEUTRAL,NEUTRAL,0.55,0.29017889843232325,0.8,0.8,0.0523109392167697,AMD,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5606456320966373,0.5866366172809104,0.5,0,NEUTRAL,NEUTRAL,0.4999999999999999,0.8,0.6823547493899005,0.3641917197337413,0.05181936896289912,MSFT,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5482101468158675,0.5688716383083823,0.5,0,SHORT,SHORT,0.55,0.5,0.8,0.425486553233529,0.04115704352358082,VLO,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5445187118537845,0.5635981597911208,0.5,0,NEUTRAL,NEUTRAL,0.3829110462996719,0.6797011835529212,0.8,0.3917804093118903,0.05133556135561354,AMZN,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5420267723089754,0.5600382461556792,0.5,0,SHORT,SHORT,0.55,0.4560803772579768,0.8,0.43407260736473996,0.04100864253541542,CCI,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5412270927014574,0.5588958467163678,0.5,0,SHORT,SHORT,0.55,0.5,0.8,0.38558338686547133,0.04098945022483498,TSLA,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5172074954592111,0.5245821363703016,0.5,0,SHORT,SHORT,0.5327733199598793,0.40258626548369536,0.7737004782961832,0.3892684817414486,0.04041297989102107,NEM,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5142150954486584,0.5203072792123692,0.5,0,SHORT,SHORT,0.55,0.28105701143732453,0.7501721054121522,0.5,0.040341162290767806,EOG,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
2023-05-03 04:00:00+00:00,0.5108695730172276,0.5155279614531822,0.5,0,NEUTRAL,NEUTRAL,0.6178301886792452,0.35814851646239254,0.5375458384279997,0.5485873022430916,0.05032608719051683,DE,MIXED,2023-05-03 04:00:00+00:00,2023-05-08 04:00:00+00:00,382.22,380.25,-0.005154099733138054,-0.00025938567255852525
