symbol,combined_score,technical_score,seasonal_score,technical_direction,momentum_score,trend_score,volatility_score,volume_score,date,market_regime,entry_price,exit_price,return_pct,max_return_pct,max_drawdown_pct
SPG,0.6804476559349759,0.6647066362815351,0.5,LONG,0.4948063380281689,0.8,0.6223530172453451,0.7,2023-07-03,TRENDING,117.04,122.44,4.613807245386181,6.493506493506485,1.7515379357484706
LMT,0.6790063687661713,0.6628868292502162,0.5,LONG,0.7162310286677911,0.7697307450197486,0.31803886395084063,0.6023468320566334,2023-07-03,TRENDING,462.58,461.96,-0.13403087033594385,1.0030697392883425,1.0873794803061054
ETN,0.677422498494024,0.66088699304801,0.5,LONG,0.5509504608294933,0.8,0.6579224976912693,0.5481400816847547,2023-07-03,TRENDING,200.63,201.92,0.6429746299157602,2.1881074614962914,2.133280167472462
LLY,0.6772167529625175,0.6606272133365119,0.5,LONG,0.5580445544554458,0.8,0.5371379437415841,0.6304786450055245,2023-07-03,TRENDING,461.42,440.6,-4.512158120584287,1.3393437648996587,5.723635733171517
SNAP,0.6757070250985402,0.6587209912860356,0.5,LONG,0.44999999999999996,0.8,0.8,0.6035177990233078,2023-07-03,TRENDING,12.02,13.37,11.231281198003318,13.31114808652245,3.161397670549082
PINS,0.6728924965123381,0.6551672935761844,0.5,LONG,0.44999999999999996,0.8,0.8,0.5827286674206787,2023-07-03,TRENDING,27.24,28.77,5.616740088105732,6.640969162995591,3.4508076358296558
DLR,0.6704315528298826,0.652060041451872,0.5,LONG,0.44999999999999996,0.8,0.7117160546487847,0.6351783987744235,2023-07-03,TRENDING,115.23,117.75,2.1869304868523676,2.793543348086436,2.4733142410830578
DASH,0.6673802122493393,0.6482073386986607,0.5,LONG,0.44999999999999996,0.8,0.7719622761431189,0.5644431104726688,2023-07-03,TRENDING,78.71,80.59,2.3885148011688617,3.3540846144073155,4.630923643755558
U,0.66712708255454,0.6478877304981565,0.5,LONG,0.4716346153846153,0.8,0.8,0.5012009157219075,2023-07-03,TRENDING,43.46,43.69,0.5292222733548124,3.037275655775429,11.09065807639209
SHW,0.6651878935391501,0.6454392595191288,0.5,LONG,0.44999999999999996,0.8,0.632756343347824,0.6596145935086442,2023-07-03,TRENDING,264.13,263.21,-0.34831333055692637,0.49596789459736,4.287661378866458
CAT,0.6886883606960569,0.6751115665354253,0.5,LONG,0.6133059573424858,0.8,0.6818149262697033,0.5,2023-07-04,TRENDING,244.83,255.86,4.505166850467668,5.23220193603724,2.4465955969448228
CCI,0.6721540036624515,0.654234853109156,0.5,LONG,0.593494683827644,0.8,0.5737293247485034,0.5,2023-07-04,TRENDING,117.87,115.37,-2.120980741494871,0.3690506490201084,3.0711801136845684
SNAP,0.6616923076923078,0.6410256410256411,0.5,LONG,0.44999999999999996,0.8,0.8,0.5,2023-07-04,TRENDING,12.12,13.51,11.468646864686471,14.603960396039618,3.960396039603953
DASH,0.6593098704939244,0.6380175132499045,0.5,LONG,0.44999999999999996,0.8,0.7634753253353178,0.5116221922436871,2023-07-04,TRENDING,79.07,83.29,5.3370431263437546,6.380422410522324,5.065132161375995
