symbol,combined_score,technical_score,seasonal_score,technical_direction,momentum_score,trend_score,volatility_score,volume_score,date,market_regime,entry_price,exit_price,return_pct,max_return_pct,max_drawdown_pct
CVS,0.5616443263570926,0.6232886527141852,0.5,NEUTRAL,0.6685933147632315,0.5,0.640747736316973,0.655621389041436,2023-04-03,RANGE_BOUND,76.09,74.92,-1.5376527796031048,3.1410172164541894,1.7610724142462897
PNC,0.5614873742399342,0.6229747484798684,0.5,NEUTRAL,0.6254820936639119,0.5,0.8,0.5356661161062231,2023-04-03,RANGE_BOUND,125.0,119.7,-4.239999999999999,2.320000000000011,4.4399999999999995
DLR,0.5595292006039264,0.6190584012078528,0.5,NEUTRAL,0.5039847161572053,0.5,0.8,0.6710565432198741,2023-04-03,RANGE_BOUND,93.32,92.8,-0.5572224603514697,5.143591941705972,5.266823831975986
SCHW,0.5587108180232294,0.5158378509513263,0.5,SHORT,0.3937477829017382,0.5,0.8,0.3744662274596585,2023-04-03,RANGE_BOUND,51.57,51.92,-0.678689160364554,6.224549156486326,3.9170060112468486
USB,0.5582454967265846,0.6164909934531692,0.5,NEUTRAL,0.6102941176470589,0.5,0.8,0.5273652837232632,2023-04-03,RANGE_BOUND,35.64,35.4,-0.6734006734006814,2.244668911335568,3.2547699214365955
JPM,0.5575943353860762,0.6151886707721522,0.5,NEUTRAL,0.6104537366548042,0.5,0.8,0.5216851520143022,2023-04-03,RANGE_BOUND,130.16,128.5,-1.2753534111862308,0.9834050399508243,3.0270436385986477
MS,0.5574815891073291,0.6149631782146583,0.5,NEUTRAL,0.602906976744186,0.5,0.8,0.5301696540564542,2023-04-03,RANGE_BOUND,87.16,85.47,-1.938962826984858,1.3308857273978791,4.543368517668645
NUE,0.5569480449591737,0.6138960899183474,0.5,NEUTRAL,0.6100783874580069,0.4158819460870856,0.8,0.5903180245910038,2023-04-03,RANGE_BOUND,154.45,147.66,-4.396244739397859,1.2172224020718936,8.520556814503077
ETN,0.5470333898706292,0.7156297552680648,0.5,LONG,0.680785123966942,0.8,0.7560535443312376,0.6415691421022547,2023-04-03,RANGE_BOUND,170.54,162.22,-4.878620851413151,0.9675149525038229,8.88941010906532
LYFT,0.546794574970469,0.5935891499409381,0.5,NEUTRAL,0.529849884526559,0.5,0.8,0.5315419836765827,2023-04-03,RANGE_BOUND,9.07,9.78,7.82800441014333,15.600882028665918,0.4410143329658278
