symbol,date,direction,combined_score,rsi,macd,position_size,start_price,end_price,pct_return,dollar_return
LRCX,2023-02-03,SHORT,0.6531932441430987,66.99486301369863,24.2681216194498,1560.0,529.25,517.91,2.1895696163426237,34.15728601494493
LRCX,2023-02-06,SHORT,0.5919773691921753,64.7688305545702,24.100098218385483,1300.0,520.95,515.52,1.0533054003724507,13.69297020484186
LRCX,2023-02-07,SHORT,0.6488461549000044,68.70805842215083,24.67420981905144,1560.0,533.24,505.0,5.592079207920797,87.23643564356443
LRCX,2023-02-08,SHORT,0.575691725756301,67.81698764332629,23.619918795994238,1300.0,517.91,510.29,1.4932685335789397,19.41249093652622
LRCX,2023-02-10,SHORT,0.7125113792741355,54.56706063720454,20.23293327276042,1560.0,505.0,520.29,-2.938745699513723,-45.84443291241408
LRCX,2023-02-13,SHORT,0.7470269993576337,57.226203310292355,18.778155903657762,1560.0,510.29,501.33,1.7872459258372775,27.88103644306153
LRCX,2023-02-14,SHORT,0.7733940164975346,58.54587917153219,17.896627698193754,1560.0,516.21,495.66,4.145987168623666,64.6773998305292
LRCX,2023-02-15,SHORT,0.7721559444294213,57.1582825203252,17.32749160903313,1560.0,520.29,478.29,8.781283321834032,136.98801982061087
LRCX,2023-02-16,SHORT,0.663904367412483,55.71101343403702,15.171644341354238,1560.0,501.33,477.24,5.047774704551156,78.74528539099802
LRCX,2023-02-17,SHORT,0.6199920570449109,55.22552930346733,12.857386290137413,1560.0,495.66,485.38,2.117928221187526,33.03968025052541
LRCX,2023-02-22,LONG,0.6520727608946029,29.566825959611506,6.698912681141962,1000.0,477.24,482.71,1.1461738328723436,11.461738328723436
LRCX,2023-03-09,SHORT,0.5746740526170276,43.32487616286092,-0.047399496830678345,1300.0,490.28,493.98,-0.7490181788736505,-9.737236325357458
LRCX,2023-03-14,SHORT,0.7568077983678682,59.41083876770859,-0.9675451831304258,1560.0,493.98,508.36,-2.828704067983323,-44.12778346053984
LRCX,2023-03-15,SHORT,0.6461686917492542,50.951783882366364,-0.9275989028582217,1560.0,487.05,513.29,-5.1121198542734,-79.74906972666504
LRCX,2023-03-16,SHORT,0.6757332722273146,66.76443629697528,1.3590552928292823,1560.0,515.19,507.36,1.5432828760643336,24.075212866603604
LRCX,2023-03-17,SHORT,0.6354727610906713,61.468300098363606,2.5902623658855077,1560.0,508.36,506.3,0.4068733952202308,6.3472249654356006
LRCX,2023-03-20,SHORT,0.6401639344262295,62.021857923497265,3.918640985905199,1560.0,513.29,523.59,-1.9671880669990038,-30.68813384518446
LRCX,2023-03-23,SHORT,0.641978958685302,62.26386115804027,6.256976408729486,1560.0,523.59,485.08,7.938896676836826,123.84678815865449
NOW,2023-01-31,SHORT,0.618403122481462,81.11753371868978,18.13486659330539,1560.0,455.13,472.22,-3.619075854474618,-56.457583329804045
NOW,2023-02-01,SHORT,0.656470097105526,81.98385420829669,19.614694909383104,1560.0,473.81,455.22,4.083739730240321,63.70633979174901
NOW,2023-02-02,SHORT,0.6798780245188283,81.68819562921439,21.943395784835673,1560.0,491.27,463.26,6.0462807062988455,94.32197901826198
NOW,2023-02-03,SHORT,0.6172095737157572,70.40068322539322,21.998151219622343,1560.0,472.22,463.98,1.7759386180438819,27.70464244148456
NOW,2023-02-09,SHORT,0.7772204341929156,57.89744721547857,17.91123066824241,1560.0,463.3,461.35,0.4226725913081042,6.5936924244064254
NOW,2023-02-10,SHORT,0.7301883645806804,55.67517467560246,16.607794638269752,1560.0,458.36,463.91,-1.1963527408333507,-18.66310275700027
NOW,2023-02-13,SHORT,0.7397934105294319,56.20905825174333,15.611110630305234,1560.0,461.04,453.69,1.6200489320902012,25.27276334060714
NOW,2023-02-14,SHORT,0.7213975705478574,54.593923458954144,14.67705779636941,1560.0,461.35,439.01,5.088722352566011,79.38406870002977
NOW,2023-02-15,SHORT,0.6978997761657467,50.33551685572777,13.982206626802963,1560.0,463.91,431.86,7.421386560459409,115.77363034316677
NOW,2023-02-16,SHORT,0.5924494195814637,48.029575424956164,12.463195520996692,1300.0,453.69,439.84,3.148872317206264,40.93534012368143
NOW,2023-02-24,LONG,0.6947410653488093,25.444971037388072,2.482014480836199,1000.0,425.59,428.94,0.7871425550412425,7.871425550412425
NOW,2023-03-03,SHORT,0.5606212556986083,41.868355575661624,-0.6129250057699096,1300.0,443.98,446.97,-0.668948699017835,-8.696333087231856
NOW,2023-03-06,SHORT,0.5794947319938637,41.444520391888794,-0.05154877205001185,1300.0,446.02,428.5,4.088681446907816,53.15285880980161
NOW,2023-03-07,SHORT,0.5685930215259529,40.6743346865133,0.29233914635784686,1300.0,444.81,415.08,7.162474703671595,93.11217114773073
NOW,2023-03-08,SHORT,0.5888843529852932,40.40552786588129,0.7307431947247096,1300.0,446.97,414.93,7.7217843973682365,100.38319716578708
NOW,2023-03-16,SHORT,0.7912097489899274,58.905852417302796,-3.371185359830008,1560.0,442.39,445.46,-0.6891752345889679,-10.7511336595879
NOW,2023-03-17,SHORT,0.7734973994842981,56.70225385527876,-2.4077616110804456,1560.0,441.0,433.51,1.7277571451638885,26.95301146455666
NOW,2023-03-22,LONG,0.6625334758348617,48.8167617622299,-1.0837450190641675,1000.0,433.51,431.31,-0.5074854097944614,-5.074854097944614
NOW,2023-03-24,LONG,0.7071041631890922,44.11448053113225,-0.7876872666602708,1100.0,432.9,438.44,1.2797412797412866,14.077154077154152
NOW,2023-03-27,LONG,0.7258510193900588,43.96459227467812,-1.0660140068041528,1100.0,431.31,439.63,1.9290069787391895,21.219076766131085
MO,2023-01-31,SHORT,0.5690171886008109,41.121495327102764,-0.2578489163837716,1300.0,45.04,46.91,-3.9863568535493443,-51.82263909614148
MO,2023-02-01,SHORT,0.633984375,61.19791666666667,-0.020730620931537658,1560.0,47.54,46.96,1.235093696763201,19.267461669505934
MO,2023-02-02,SHORT,0.6025570944518637,60.02554278416349,0.11981198229664614,1560.0,46.97,46.56,0.8805841924398594,13.737113402061807
MO,2023-02-03,SHORT,0.565016874909631,58.40938722294655,0.22377200497061267,1300.0,46.91,46.5,0.8817204301075243,11.462365591397816
MO,2023-02-06,SHORT,0.5922436554555701,62.396694214876064,0.30666066085510835,1300.0,46.96,46.33,1.3598100582775885,17.67753075760865
MO,2023-02-07,SHORT,0.602177749347039,69.58525345622124,0.33619837517081663,1560.0,46.56,47.24,-1.4394580863674844,-22.455546147332758
MO,2023-02-08,SHORT,0.5671178250638831,66.22516556291392,0.35072281373531666,1300.0,46.5,47.85,-2.8213166144200663,-36.677115987460866
MO,2023-02-10,SHORT,0.6306783102107351,68.43702579666157,0.4083696836908999,1560.0,47.24,47.65,-0.8604407135361924,-13.422875131164602
MO,2023-02-13,SHORT,0.6699154226994288,71.40864714086469,0.5023825367946202,1560.0,47.85,47.4,0.9493670886076,14.81012658227856
