Symbol,Direction,Entry Price,Entry Time,Exit Price,Exit Time,P/L,Reason
NVDA,short,661.6,2024-02-02 05:00:00+00:00,695.7520042857143,2024-02-06 05:00:00+00:00,-258.10160433580916,stop_loss
NVDA,short,682.23,2024-02-06 05:00:00+00:00,720.1559871428572,2024-02-09 05:00:00+00:00,-277.9560202780377,stop_loss
NVDA,short,721.33,2024-02-09 05:00:00+00:00,760.9299871428572,2024-02-22 05:00:00+00:00,-274.49286140086446,stop_loss
AMZN,short,171.81,2024-02-02 05:00:00+00:00,178.70527285714286,2024-03-01 05:00:00+00:00,-200.6656439422285,stop_loss
META,short,474.99,2024-02-02 05:00:00+00:00,501.7214914285714,2024-03-01 05:00:00+00:00,-281.39004430168444,stop_loss
AAPL,long,184.15,2024-02-14 05:00:00+00:00,178.20451,2024-03-01 05:00:00+00:00,-161.43062720608216,stop_loss
NVDA,short,785.38,2024-02-22 05:00:00+00:00,848.40313,2024-03-04 05:00:00+00:00,-401.2269856629914,stop_loss
AAPL,long,179.66,2024-03-01 05:00:00+00:00,174.37719285714286,2024-03-04 05:00:00+00:00,-147.02235174376983,stop_loss
AAPL,long,175.1,2024-03-04 05:00:00+00:00,169.3273357142857,2024-03-06 05:00:00+00:00,-164.83907155095045,stop_loss
NVDA,short,852.37,2024-03-04 05:00:00+00:00,917.6997014285714,2024-03-07 05:00:00+00:00,-383.2238430996598,stop_loss
AMD,short,205.36,2024-03-04 05:00:00+00:00,221.2205842857143,2024-03-08 05:00:00+00:00,-386.16537509043343,stop_loss
AAPL,long,169.12,2024-03-06 05:00:00+00:00,172.62,2024-03-15 04:00:00+00:00,103.47682119205297,end_of_backtest
NVDA,short,926.69,2024-03-07 05:00:00+00:00,878.365,2024-03-15 04:00:00+00:00,260.7398374861067,end_of_backtest
TSLA,long,175.34,2024-03-08 05:00:00+00:00,163.57,2024-03-15 04:00:00+00:00,-335.6336260978673,end_of_backtest
