date,symbol,rank,technical_score,seasonal_score,combined_score,technical_direction,direction,position_size,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-01-05 05:00:00,NEM,2,0.6219213975152023,0.5,0.5853449782606416,LONG,LONG,0.05256034934781925,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,51.21,53.4,0.04276508494434676,2.2477478045640313e-05
2023-01-05 05:00:00,TSLA,3,0.5620986325330074,0.605,0.5749690427731051,SHORT,SHORT,0.04179925702655453,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,110.34,123.56,-0.11981149175276416,-5.0080313385087074e-05
2023-01-05 05:00:00,CCI,4,0.6045629968339616,0.5,0.5731940977837732,LONG,LONG,0.0521958229335132,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,140.75,151.25,0.07460035523978685,3.893826932873098e-05
2023-01-05 05:00:00,FDX,5,0.6014825153433546,0.5,0.5710377607403482,LONG,LONG,0.05213113282221045,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,181.28,191.89,0.05852824360105905,3.0511436410174982e-05
2023-01-05 05:00:00,AAPL,6,0.5367135424763446,0.605,0.5571994797334412,SHORT,SHORT,0.0413727875136026,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,125.02,133.41,-0.06710926251799712,-2.77649725835167e-05
2023-01-05 05:00:00,NVDA,7,0.5239990852082579,0.605,0.5482993596457805,SHORT,SHORT,0.04115918463149874,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,142.65,165.11,-0.15744830003505086,-6.480443651058268e-05
2023-01-05 05:00:00,EOG,8,0.558416617954341,0.5,0.5408916325680387,NEUTRAL,NEUTRAL,0.051226748977041166,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,124.38,130.45,0.04880205820871517,2.4999707854208034e-05
2023-01-05 05:00:00,VLO,9,0.5544690051932881,0.5,0.5381283036353016,NEUTRAL,NEUTRAL,0.05114384910905905,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,126.59,135.32,0.06896279326961047,3.527022693120191e-05
2023-01-05 05:00:00,LIN,10,0.5518739432954622,0.5,0.5363117603068236,SHORT,SHORT,0.04087148224736377,MIXED,2023-01-05 05:00:00,2023-01-12 05:00:00,305.49,328.91,-0.07666372058005178,-3.133359894704443e-05
2023-01-06 05:00:00,TSLA,1,0.6287626920159524,0.605,0.6216338844111666,NEUTRAL,NEUTRAL,0.053649016532335,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,113.06,122.4,0.08261100300725281,4.4319990660888826e-05
2023-01-06 05:00:00,CAT,2,0.6445340610711892,0.5,0.6011738427498323,LONG,LONG,0.053035215282494975,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,248.86,258.46,0.03857590613196161,2.045881486425902e-05
2023-01-06 05:00:00,AMZN,3,0.5888462419271883,0.605,0.5936923693490317,NEUTRAL,NEUTRAL,0.052810771080470956,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,86.08,98.12,0.1398698884758365,7.386636661348404e-05
2023-01-06 05:00:00,NEM,4,0.6169343714026712,0.5,0.5818540599818698,LONG,LONG,0.0524556217994561,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,52.69,54.35,0.031505029417346814,1.6526159078970832e-05
2023-01-06 05:00:00,EOG,5,0.6133972750782639,0.5,0.5793780925547847,LONG,LONG,0.052381342776643545,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,127.47,129.46,0.015611516435239736,8.177521936574969e-06
2023-01-06 05:00:00,NVDA,6,0.5566381249323064,0.605,0.5711466874526144,NEUTRAL,NEUTRAL,0.052134400623578436,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,148.59,168.99,0.13729053099131844,7.157559544525207e-05
2023-01-06 05:00:00,CCI,7,0.60130364320004,0.5,0.570912550240028,LONG,LONG,0.05212737650720084,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,145.71,150.86,0.03534417678951345,1.8423992108440366e-05
2023-01-06 05:00:00,VLO,8,0.5916370051680948,0.5,0.5641459036176664,LONG,LONG,0.05192437710852999,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,127.56,136.13,0.06718407024145495,3.488490998903275e-05
2023-01-06 05:00:00,AAPL,9,0.5211747138287494,0.605,0.5463222996801245,SHORT,SHORT,0.041111735192322994,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,129.62,134.76,-0.03965437432494975,-1.630260136464586e-05
2023-01-06 05:00:00,MSFT,10,0.5024545266647165,0.605,0.5332181686653015,SHORT,SHORT,0.04079723604796724,MIXED,2023-01-06 05:00:00,2023-01-13 05:00:00,224.93,239.23,-0.06357533454852612,-2.5936979304047072e-05
2023-01-09 05:00:00,TSLA,1,0.6880979033651359,0.605,0.6631685323555951,LONG,LONG,0.05489505597066786,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,119.77,131.49,0.09785422058946325,5.3717129162246634e-05
2023-01-09 05:00:00,AMZN,2,0.6379824347357277,0.605,0.6280877043150093,LONG,LONG,0.05384263112945028,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,87.36,96.05,0.0994734432234432,5.3559119106561683e-05
2023-01-09 05:00:00,NVDA,3,0.5916362301950104,0.605,0.5956453611365073,NEUTRAL,NEUTRAL,0.05286936083409522,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,156.28,177.02,0.13271051958024066,7.016320346168003e-05
2023-01-09 05:00:00,NEM,4,0.632510580181861,0.5,0.5927574061273027,LONG,LONG,0.05278272218381908,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,52.22,52.47,0.004787437763309077,2.526939974330672e-06
2023-01-09 05:00:00,VLO,5,0.6297791669793568,0.5,0.5908454168855497,LONG,LONG,0.052725362506566495,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,128.58,137.61,0.07022865142323845,3.702831104637544e-05
