symbol,direction,entry_date,entry_price,exit_date,exit_price,stop_loss,take_profit,exit_reason,profit_pct,profit_usd,duration_days
TSLA,LONG,2023-03-28 04:00:00+00:00,189.19,2023-03-29 04:00:00+00:00,193.88,161.42285714285714,207.70142857142858,signal,2.478989375759817,247.89893757598168,2
TSLA,SHORT,2023-03-29 04:00:00+00:00,193.88,2023-03-31 04:00:00+00:00,207.46,219.93714285714285,176.50857142857143,end_of_period,-7.004332576851667,-700.4332576851666,3
JPM,LONG,2023-03-09 05:00:00+00:00,130.34,2023-03-14 04:00:00+00:00,134.62,120.03358571428569,137.21094285714287,signal,3.2837195028387307,328.3719502838731,5
JPM,SHORT,2023-03-14 04:00:00+00:00,134.62,2023-03-15 04:00:00+00:00,128.26,148.72,125.22,signal,4.724409448818907,472.4409448818907,2
JPM,LONG,2023-03-15 04:00:00+00:00,128.26,2023-03-21 04:00:00+00:00,130.55,111.36999999999999,139.51999999999998,signal,1.7854358334632936,178.54358334632937,7
JPM,SHORT,2023-03-21 04:00:00+00:00,130.55,2023-03-22 04:00:00+00:00,127.18,146.03,120.23000000000002,signal,2.5813864419762576,258.13864419762575,2
JPM,LONG,2023-03-22 04:00:00+00:00,127.18,2023-03-27 04:00:00+00:00,128.49,112.08357142857145,137.24428571428572,signal,1.0300361692089968,103.00361692089967,6
JPM,SHORT,2023-03-27 04:00:00+00:00,128.49,2023-03-31 04:00:00+00:00,130.31,140.84785714285715,120.25142857142858,end_of_period,-1.4164526422289618,-141.64526422289617,5
V,LONG,2023-03-09 05:00:00+00:00,220.01,2023-03-14 04:00:00+00:00,218.66,208.85428571428574,227.44714285714284,signal,-0.6136084723421636,-61.360847234216365,5
V,SHORT,2023-03-14 04:00:00+00:00,218.66,2023-03-15 04:00:00+00:00,216.37,231.5192857142857,210.08714285714285,signal,1.0472880270739926,104.72880270739927,2
V,LONG,2023-03-15 04:00:00+00:00,216.37,2023-03-16 04:00:00+00:00,217.45,202.96857142857144,225.30428571428573,signal,0.49914498313074085,49.914498313074084,2
V,SHORT,2023-03-16 04:00:00+00:00,217.45,2023-03-17 04:00:00+00:00,217.39,232.78857142857143,207.22428571428568,signal,0.027592550011497942,2.759255001149794,2
V,LONG,2023-03-17 04:00:00+00:00,217.39,2023-03-20 04:00:00+00:00,218.15,201.27999999999997,228.13,signal,0.3496020976125946,34.960209761259456,4
V,SHORT,2023-03-20 04:00:00+00:00,218.15,2023-03-24 04:00:00+00:00,221.04,233.82928571428573,207.69714285714286,signal,-1.3247765299106058,-132.47765299106058,5
V,LONG,2023-03-24 04:00:00+00:00,221.04,2023-03-27 04:00:00+00:00,221.81,205.9542857142857,231.09714285714284,signal,0.34835323923272266,34.83532392327227,4
V,SHORT,2023-03-27 04:00:00+00:00,221.81,2023-03-28 04:00:00+00:00,220.33,234.41857142857145,213.40428571428572,signal,0.6672377259816915,66.72377259816915,2
V,LONG,2023-03-28 04:00:00+00:00,220.33,2023-03-29 04:00:00+00:00,223.3,207.34,228.99,signal,1.3479780329505735,134.79780329505735,2
V,SHORT,2023-03-29 04:00:00+00:00,223.3,2023-03-31 04:00:00+00:00,225.46,236.08214285714288,214.77857142857144,end_of_period,-0.9673085535154484,-96.73085535154485,3
WMT,LONG,2023-03-09 05:00:00+00:00,137.17,2023-03-14 04:00:00+00:00,138.1,131.83432857142856,140.72711428571426,signal,0.6779908143180047,67.79908143180047,5
WMT,SHORT,2023-03-14 04:00:00+00:00,138.1,2023-03-22 04:00:00+00:00,139.52,143.78285714285713,134.31142857142856,signal,-1.0282404055032701,-102.82404055032701,9
WMT,LONG,2023-03-22 04:00:00+00:00,139.52,2023-03-23 04:00:00+00:00,140.65,133.44285714285715,143.57142857142858,signal,0.8099197247706389,80.9919724770639,2
WMT,SHORT,2023-03-23 04:00:00+00:00,140.65,2023-03-31 04:00:00+00:00,147.09142857142857,147.09142857142857,136.3557142857143,stop_loss,-4.5797572495048415,-457.97572495048416,9
PG,LONG,2023-03-09 05:00:00+00:00,136.57,2023-03-13 04:00:00+00:00,138.14,130.6010714285714,140.54928571428573,signal,1.1495936149959678,114.95936149959678,4
PG,SHORT,2023-03-13 04:00:00+00:00,138.14,2023-03-23 04:00:00+00:00,143.79,144.6767857142857,133.78214285714284,signal,-4.090053568843207,-409.0053568843207,11
PG,LONG,2023-03-23 04:00:00+00:00,143.79,2023-03-24 04:00:00+00:00,146.72,137.1797142857143,148.1968571428571,signal,2.0376938591000817,203.76938591000817,2
PG,SHORT,2023-03-24 04:00:00+00:00,146.72,2023-03-31 04:00:00+00:00,148.69,153.17171428571427,142.41885714285715,end_of_period,-1.342693565976008,-134.2693565976008,8
