symbol,date,direction,combined_score,rsi,macd,position_size,start_price,end_price,pct_return,dollar_return
VRTX,2023-03-15,LONG,0.6244899168036914,52.9950669485553,-1.9011653088226126,1200.0,294.27,298.95,1.590376185136111,19.08451422163333
PLD,2023-02-08,SHORT,0.0817517882685401,68.17599316531397,3.8800227309453845,1000.0,129.8,129.29,0.394462062031109,3.94462062031109
PLD,2023-02-09,SHORT,0.17769100231339494,61.04060913705582,3.5133134137984,1000.0,128.04,127.73,0.24269944413997102,2.42699444139971
PLD,2023-02-10,SHORT,0.2414130185877637,54.94129158512721,3.1899563885260136,1000.0,128.09,127.53,0.43911236571787526,4.391123657178753
PLD,2023-02-13,SHORT,0.21091712415908936,56.78085405912713,2.9959877061784255,1000.0,129.29,125.79,2.782415136338323,27.82415136338323
PLD,2023-02-14,SHORT,0.2592988769216579,54.602888086642615,2.6854311863199882,1000.0,127.73,125.32,1.9230769230769384,19.230769230769383
MS,2023-02-09,SHORT,0.18250125964223995,58.82926829268294,2.580605655790734,1000.0,98.05,100.56,-2.496022275258558,-24.96022275258558
MS,2023-02-10,SHORT,0.1968312411880247,56.71794871794873,2.451984940753377,1000.0,98.44,100.83,-2.3703262917782464,-23.703262917782464
MS,2023-02-13,SHORT,0.034791163801708505,71.4912280701754,2.402245235914947,1000.0,99.43,99.57,-0.14060459977903728,-1.4060459977903728
MS,2023-02-14,SHORT,0.011995198806918617,74.30830039525688,2.426041817754765,1000.0,100.56,99.51,1.0551703346397323,10.551703346397323
MS,2023-02-15,SHORT,0.016594726940211958,72.71773347324235,2.438577124691875,1000.0,100.83,97.62,3.28826060233558,32.8826060233558
MS,2023-02-16,SHORT,0.12454543198560651,62.991371045062266,2.3200953608996855,1000.0,99.57,97.27,2.364552277166654,23.64552277166654
MS,2023-02-17,SHORT,0.0754853442870167,68.5088633993744,2.1960416102260467,1000.0,99.51,97.94,1.6030222585256437,16.03022258525644
MS,2023-03-09,LONG,0.6000000000000001,22.31404958677686,-0.15497134431578274,1200.0,92.2,89.97,-2.4186550976138865,-29.02386117136664
MS,2023-03-10,LONG,0.6000000000000001,19.285714285714263,-0.6503703481472627,1200.0,90.05,85.39,-5.17490283176013,-62.098833981121565
MS,2023-03-13,LONG,0.6000000000000001,19.075144508670505,-1.1954223272386457,1200.0,87.99,87.01,-1.1137629276053995,-13.365155131264794
