,combined_score,technical_score,seasonal_score,sector_boost,technical_direction,direction,momentum_score,trend_score,volatility_score,volume_score,position_size,symbol,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-08-10 04:00:00+00:00,0.5266358955524653,0.5317093994672206,0.5,0,NEUTRAL,NEUTRAL,0.4147943831494485,0.8,0.5147137330358567,0.3973294816835774,0.050799076866573964,DE,TRENDING,2023-08-10 04:00:00+00:00,2023-08-15 04:00:00+00:00,423.88,439.4,-0.03661413607624795,-0.0014702964130070943
2023-08-10 04:00:00+00:00,0.5149575810442257,0.5378066441002687,0.395,0,SHORT,SHORT,0.47549369171695,0.4846525727248675,0.8,0.39108031195925697,0.04035898194506142,TSLA,TRENDING,2023-08-10 04:00:00+00:00,2023-08-15 04:00:00+00:00,423.88,439.4,-0.03661413607624795,-0.0014702964130070943
2023-08-10 04:00:00+00:00,0.5065218093466702,0.527764058746036,0.395,0,SHORT,SHORT,0.47541614321608017,0.42006667737456815,0.8,0.4155734143934958,0.04015652342432009,NVDA,TRENDING,2023-08-10 04:00:00+00:00,2023-08-15 04:00:00+00:00,423.88,439.4,-0.03661413607624795,-0.0014702964130070943
2023-08-11 04:00:00+00:00,0.6236319350329509,0.6471808750392272,0.5,0,LONG,LONG,0.44999999999999996,0.8,0.7470780855129339,0.5916454146439748,0.05370895805098853,VLO,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.6075903676359773,0.628083770995211,0.5,0,LONG,LONG,0.44999999999999996,0.8,0.6185912919116479,0.643743792069196,0.05322771102907932,XLE,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.6015999969885775,0.6209523773673541,0.5,0,LONG,LONG,0.44999999999999996,0.8,0.7231608182155128,0.5106486912539036,0.05304799990965733,CAT,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5680094617843171,0.5809636449813299,0.5,0,NEUTRAL,NEUTRAL,0.2863970588235295,0.8,0.713401561032484,0.5240559600693063,0.05204028385352952,EOG,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5553639131501971,0.5659094204169013,0.5,0,LONG,LONG,0.6537453679195337,0.5,0.5404762676351784,0.5694160461128932,0.051660917394505915,CVX,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5514703307079709,0.561274203223775,0.5,0,NEUTRAL,NEUTRAL,0.55,0.46702335305217624,0.6686613879446143,0.5594120718983091,0.05154410992123913,NEE,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.543852856982942,0.5522057821225499,0.5,0,NEUTRAL,NEUTRAL,0.55,0.44075752796640755,0.6648918412303146,0.5531737592934771,0.051315585709488264,CCI,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5280660321835576,0.5534119430756639,0.395,0,NEUTRAL,NEUTRAL,0.4857765451664026,0.6049884682682557,0.7856629372361619,0.33721982163183517,0.05084198096550673,AMZN,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5266025556475746,0.5516697091042555,0.395,0,SHORT,SHORT,0.5306691708402892,0.43652184404416083,0.8,0.4394878215325717,0.040638461335541796,NVDA,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
2023-08-11 04:00:00+00:00,0.5261495979581822,0.5511304737597407,0.395,0,SHORT,SHORT,0.5487719693555657,0.4813545074990402,0.8,0.37439541818435684,0.040627590350996376,TSLA,TRENDING,2023-08-11 04:00:00+00:00,2023-08-16 04:00:00+00:00,242.65,225.6,0.07026581495981872,0.002854730745866428
