symbol,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,regime,strategy,reason
AMD,SHORT,2023-04-11 04:00:00,2023-04-25 04:00:00,96.81,83.8,49,637.4900000000002,13.43869434975726,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-04-25 04:00:00,2023-05-03 04:00:00,96.81,81.62,49,744.31,15.690527838033258,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-05-03 04:00:00,2023-05-17 04:00:00,96.81,103.75,48,-333.1199999999999,-7.168680921392416,range_bound,mean_reversion,stop_loss
AMD,SHORT,2023-06-29 04:00:00,2023-08-02 04:00:00,125.27,109.35,37,589.0400000000001,12.708549533008703,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-08-02 04:00:00,2023-08-11 04:00:00,125.27,107.57,37,654.9000000000001,14.129480322503396,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-08-11 04:00:00,2023-08-16 04:00:00,125.27,107.19,37,668.9599999999999,14.432825097788776,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-08-16 04:00:00,2023-08-17 04:00:00,125.27,104.44,37,770.7099999999999,16.62808333998563,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-11 04:00:00,2023-09-12 04:00:00,125.27,105.31,36,718.5599999999997,15.933583459726982,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-12 04:00:00,2023-09-13 04:00:00,125.27,107.71,36,632.1600000000001,14.017721721082463,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-13 04:00:00,2023-09-14 04:00:00,125.27,106.63,36,671.04,14.879859503472497,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-14 04:00:00,2023-09-15 04:00:00,125.27,101.49,36,856.08,18.98299672706953,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-15 04:00:00,2023-09-18 04:00:00,125.27,102.37,35,801.4999999999997,18.28051408956653,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-18 04:00:00,2023-09-19 04:00:00,125.27,101.61,35,828.0999999999999,18.8872036401373,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-19 04:00:00,2023-09-20 04:00:00,125.27,100.34,35,872.5499999999997,19.901013810170028,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-20 04:00:00,2023-09-21 04:00:00,125.27,96.11,34,991.4399999999998,23.277720124531008,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-22 04:00:00,2023-09-25 04:00:00,125.27,97.38,34,948.26,22.26390995449828,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-09-25 04:00:00,2023-09-26 04:00:00,125.27,95.96,34,996.5400000000001,23.397461483196295,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-20 04:00:00,2023-10-23 04:00:00,125.27,100.01,33,833.5799999999997,20.16444479923365,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-23 04:00:00,2023-10-24 04:00:00,125.27,101.67,33,778.7999999999998,18.839307096671188,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-24 04:00:00,2023-10-25 04:00:00,125.27,96.055,33,964.0949999999997,23.321625289374943,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-25 04:00:00,2023-10-26 04:00:00,125.27,93.67,32,1011.1999999999998,25.225512892152945,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-26 04:00:00,2023-10-27 04:00:00,125.27,96.43,32,922.8799999999997,23.022271892711736,range_bound,mean_reversion,take_profit
AMD,SHORT,2023-10-27 04:00:00,2023-10-30 04:00:00,125.27,96.18,31,901.7899999999996,23.22184082382054,range_bound,mean_reversion,take_profit
AMD,SHORT,2024-04-03 04:00:00,2024-04-04 04:00:00,125.27,165.83,31,-1257.3600000000006,-32.37806338309254,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-04 04:00:00,2024-04-05 04:00:00,125.27,170.42,32,-1444.7999999999997,-36.04214895825017,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-05 04:00:00,2024-04-08 04:00:00,125.27,169.9,32,-1428.1600000000003,-35.627045581543875,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-08 04:00:00,2024-04-09 04:00:00,125.27,170.78,33,-1501.8300000000002,-36.329528219046864,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-09 04:00:00,2024-04-10 04:00:00,125.27,167.14,33,-1381.7099999999996,-33.42380458210265,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-10 04:00:00,2024-04-11 04:00:00,125.27,170.5,34,-1537.8200000000002,-36.106011016204995,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-11 04:00:00,2024-04-12 04:00:00,125.27,163.28,34,-1292.3400000000001,-30.342460285782714,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-12 04:00:00,2024-04-15 04:00:00,125.27,160.32,35,-1226.75,-27.97956414145446,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-15 04:00:00,2024-04-16 04:00:00,125.27,163.46,35,-1336.6500000000003,-30.48614991618106,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-16 04:00:00,2024-04-17 04:00:00,125.27,154.02,36,-1035.0000000000005,-22.95042707751258,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-17 04:00:00,2024-04-18 04:00:00,125.27,155.08,36,-1073.1600000000005,-23.796599345413917,range_bound,mean_reversion,stop_loss
AMD,SHORT,2024-04-18 04:00:00,2024-04-19 04:00:00,125.27,146.64,37,-790.6899999999996,-17.05915223118064,range_bound,mean_reversion,stop_loss
