date,close,lower_band,middle_band,upper_band,rsi,atr,lower_band_distance,upper_band_distance,near_lower_band,near_upper_band,rsi_oversold,rsi_overbought,long_signal,short_signal
2023-02-01,181.41,115.77250856195555,137.86149999999998,159.9504914380444,81.41755828599317,11.60828144690373,0.36181848540898764,-0.11829286457171932,False,True,False,True,False,True
2023-02-02,188.27,117.68241152961721,141.59299999999996,165.5035884703827,82.89361992992701,11.50840420069632,0.3749274365028034,-0.12092426583957773,False,True,False,True,False,True
2023-02-03,189.98,120.59325656604406,145.575,170.55674343395592,83.25077201342128,11.315661043503724,0.3652318319504997,-0.10223842807687164,False,True,False,True,False,True
2023-02-06,194.76,123.66967045226244,149.66,175.65032954773756,84.24122527794408,11.169542397539171,0.36501504183475847,-0.09811907194630538,False,True,False,True,False,True
2023-02-07,196.81,126.54637658795926,153.512,180.47762341204074,84.66018283144973,11.267432226286372,0.35701246589116786,-0.08298550169178019,False,True,False,True,False,True
2023-02-08,201.29,129.9895048156057,157.634,185.27849518439427,85.56345706288363,10.996901352980203,0.35421777129710513,-0.07954446229621799,False,True,False,True,False,True
2023-02-09,207.32,133.36524280148475,161.83900000000003,190.3127571985153,86.69876912189457,10.831408399195903,0.3567179104693963,-0.08203377774206393,False,True,False,True,False,True
2023-02-10,196.89,137.47915231161932,165.50549999999998,193.53184768838065,75.62113726667299,11.25487922782477,0.3017463948823235,-0.017055982079431844,False,True,False,True,False,True
2023-02-13,194.64,142.2480681349605,169.1175,195.9869318650395,73.44113829413509,11.135244997265856,0.26917350937648726,0.0069201185010250845,False,False,False,True,False,False
2023-02-14,209.25,146.23631501520825,173.00549999999998,199.77468498479172,77.89687180175822,10.789870354604007,0.30114066898347314,-0.04528227008462739,False,True,False,True,False,True
2023-02-15,214.24,151.09548656093992,177.27849999999998,203.46151343906004,79.18154666114867,10.597736757846578,0.29473727333392497,-0.05031033682290873,False,True,False,True,False,True
2023-02-16,202.04,157.00846410875732,181.022,205.03553589124266,68.67243727728311,10.391469846571823,0.2228842600041708,0.014826449669583585,False,False,False,True,False,False
2023-02-17,208.31,162.70833024931576,184.76649999999998,206.8246697506842,70.81619747490774,10.554050571816692,0.21891253300698113,-0.007130383799701446,False,True,False,True,False,True
2023-02-21,197.37,167.36766337840368,187.44749999999996,207.52733662159625,62.74787772309642,10.503761245258357,0.15201062279777233,0.0514634271753369,False,False,False,True,False,False
2023-02-22,200.86,172.71140862004464,190.296,207.88059137995535,64.15107714555832,10.71349258488276,0.14014035338024183,0.03495266045979953,False,False,False,True,False,False
2023-02-23,202.07,178.94217245117096,193.178,207.41382754882903,64.64826864231449,10.613957400248278,0.11445453332423929,0.02644542756880804,False,False,False,True,False,False
2023-02-24,196.88,182.93180870022752,195.0085,207.08519129977248,60.755994791551245,10.3722461573734,0.07084615654090043,0.05183457588263145,False,False,False,True,False,False
2023-02-27,207.63,184.79171563192625,196.49500000000003,208.19828436807381,65.40241105101998,10.129228574703872,0.10999510845289093,0.0027370050959582854,False,True,False,True,False,True
2023-02-28,205.71,188.80934360211978,198.44750000000002,208.08565639788026,63.946158505809734,10.040705105082166,0.08215768021914455,0.011548570307132609,False,False,False,True,False,False
2023-03-01,202.77,192.19040789698644,199.925,207.65959210301358,61.68136958419432,10.044226169004869,0.052175332164588285,0.02411398186622069,False,False,False,True,False,False
2023-03-02,190.9,193.57813395279214,200.3995,207.22086604720783,53.450378537287136,10.380352871218806,-0.01402898875218511,0.08549432188165441,True,False,False,True,False,False
2023-03-03,197.79,194.60743054042956,200.87550000000002,207.14356945957047,57.03441208470098,10.332470523274607,0.01609064896895915,0.04729040628732737,False,False,False,True,False,False
2023-03-06,193.81,195.0826461501679,201.06699999999998,207.05135384983205,54.42752035172539,10.35586548589785,-0.006566462773685058,0.06832131391482406,True,False,False,True,False,False
2023-03-07,187.71,194.18611622221854,200.7145,207.24288377778143,50.60940779245017,9.988303665476575,-0.03450064579520822,0.10405883425380331,True,False,False,True,False,False
2023-03-08,182.0,192.30452648482307,199.974,207.6434735151769,47.26685811647921,9.806996260799677,-0.05661827738913776,0.14089820612734563,True,False,False,True,False,False
2023-03-09,172.92,188.8953739785653,198.5555,208.2156260214347,42.463978315130774,9.600782242171126,-0.09238592400280651,0.20411534826182465,True,False,True,False,True,False
2023-03-10,173.44,185.99195572482452,196.8615,207.7310442751755,42.8223006160746,9.350726367730331,-0.07237059343187571,0.19771127926185134,True,False,True,False,True,False
2023-03-13,174.48,183.8272260807081,195.741,207.65477391929193,43.57911363179818,8.929245912892451,-0.053571905551972214,0.19013510957870208,True,False,True,False,True,False
2023-03-14,183.26,182.95142693651394,195.17199999999997,207.392573063486,49.63946881277697,9.185014061971561,0.0016837993205612305,0.13168489066619016,True,False,True,False,True,False
