date,close,lower_band,middle_band,upper_band,rsi,atr,lower_band_distance,upper_band_distance,near_lower_band,near_upper_band,rsi_oversold,rsi_overbought,long_signal,short_signal
2023-02-01,252.75,229.75295342955897,237.9395,246.12604657044105,59.955843235199644,7.291210247999337,0.09098732569907429,-0.02620753087857152,False,True,False,True,False,True
2023-02-02,264.6,229.94202872861734,239.71450000000004,249.48697127138274,67.36710628862852,7.05612380171367,0.13098250669456793,-0.05711651069016356,False,True,False,True,False,True
2023-02-03,258.35,231.79681622170764,241.51650000000004,251.23618377829243,60.958899151745456,7.006400673019835,0.10277988689100978,-0.027535576627472785,False,True,False,True,False,True
2023-02-06,256.77,233.63138795307344,243.1085,252.58561204692654,59.42009363986672,6.982372053518419,0.09011415682099365,-0.01629624937910753,False,True,False,True,False,True
2023-02-07,267.56,234.98952594668546,245.13050000000007,255.27147405331468,65.77413567081027,6.740774049695674,0.12173147725113821,-0.045928113121114236,False,True,False,True,False,True
2023-02-08,266.73,236.56857800574247,247.02450000000007,257.4804219942577,64.93189070703673,6.4564330461459845,0.11307847634033498,-0.034677681572160265,False,True,False,True,False,True
2023-02-09,263.62,237.70137631306517,248.41700000000006,259.13262368693495,61.74161485014229,6.3624021142784155,0.09831812338568711,-0.017022139113364143,False,True,False,True,False,True
2023-02-10,263.1,238.72931113335494,249.64650000000006,260.5636888666452,61.20017466207456,6.321516248972814,0.09262899607238723,-0.009640103129436878,False,True,False,True,False,True
2023-02-13,271.32,239.64615407254362,251.25099999999998,262.8558459274563,66.24012736037812,6.192122231189041,0.1167398124998392,-0.031196204012028942,False,True,False,True,False,True
2023-02-14,272.17,240.6731953750584,252.842,265.0108046249416,66.72151182416408,6.09482778610411,0.11572474785957894,-0.026304131149863696,False,True,False,True,False,True
2023-02-15,269.32,242.50316361591285,254.51749999999998,266.5318363840871,63.45440264458001,5.966625801382389,0.09957239114840019,-0.010352605138544775,False,True,False,True,False,True
2023-02-16,262.15,245.09853418349348,256.02849999999995,266.9584658165064,56.022209583058576,5.80698824414079,0.06504469127028989,0.018342421577365788,False,False,False,True,False,False
2023-02-17,258.06,246.60646079365605,256.9205,267.2345392063439,52.26185435257621,5.962203369559305,0.04438324113130259,0.03555196158391042,False,False,False,True,False,False
2023-02-21,252.67,247.58905952641024,257.42499999999995,267.26094047358964,47.7163125626862,5.907045986019354,0.020108997797877663,0.057747023681440836,False,False,False,True,False,False
2023-02-22,251.51,248.60140514461642,257.8985,267.1955948553836,46.773437742864374,6.355114129875117,0.011564529662373542,0.0623656906500084,False,False,False,True,False,False
2023-02-23,254.77,250.15194662622565,258.60650000000004,267.0610533737744,49.77698349000415,6.411891692026894,0.018126362498623694,0.048243723255384924,False,False,False,False,False,False
2023-02-24,249.22,250.28560410766164,258.6675000000001,267.0493958923385,45.10997601587817,6.473185142596405,-0.004275756791837099,0.07154079083676475,True,False,False,False,False,False
2023-02-27,250.16,250.50041594635695,258.76750000000004,267.03458405364313,46.0328845903329,6.959386203839521,-0.0013607928779859114,0.06745516490903075,True,False,False,False,False,False
2023-02-28,249.42,251.3758568668621,259.103,266.8301431331379,45.38592816383554,6.971572903565269,-0.00784162002590859,0.06980251436588042,True,False,False,False,False,False
2023-03-01,246.27,251.17994914622656,259.02600000000007,266.8720508537736,42.638821329419756,7.157889124739177,-0.019937260511741387,0.08365635625034958,True,False,True,False,True,False
2023-03-02,251.11,251.02455974200197,258.944,266.86344025799804,47.860833759655634,7.038104187257809,0.00034025032056885207,0.06273521666997739,True,False,True,False,True,False
2023-03-03,255.29,250.63191394299406,258.4785,266.32508605700593,51.93089958089334,7.1682396024536805,0.018246253503881593,0.0432256886560615,False,False,True,False,False,False
2023-03-06,256.87,250.55007610323963,258.4045,266.25892389676034,53.411313981559786,7.282651059421274,0.024603588962355948,0.03655126677603586,False,False,True,False,False,False
2023-03-07,254.15,250.3712045898042,258.2734999999999,266.1757954101956,50.52640443504597,7.144604555176898,0.014868366752688617,0.0473177076930772,False,False,False,False,False,False
2023-03-08,253.7,249.9189130397155,257.5804999999999,265.2420869602843,50.044804709756136,7.058482801235695,0.014903772015311326,0.045495021522602826,False,False,False,False,False,False
2023-03-09,252.32,249.4183086599886,256.85999999999996,264.3016913400113,48.51752790237475,6.863941172576004,0.011500044942974724,0.04748609440397634,False,False,False,False,False,False
2023-03-10,248.59,248.62860810572766,256.10849999999994,263.5883918942722,44.55921001077442,6.795788231677714,-0.0001553083620727353,0.06033385049387426,True,False,True,False,True,False
2023-03-13,253.92,248.3328392350061,255.64949999999993,262.96616076499373,50.74335791006422,6.592517643700734,0.02200362620114163,0.03562602695728475,False,False,True,False,False,False
2023-03-14,260.79,248.61920641471454,255.123,261.62679358528544,57.34740455992483,6.569480669150679,0.04666894277113953,0.003208687393249052,False,True,True,True,False,True
