quarter,total_signals,long_signals,short_signals,long_pct,short_pct,avg_long_score,avg_short_score,win_rate,profit_factor,avg_win,avg_loss,avg_holding_period,long_win_rate,short_win_rate
Q1_2023,5,0,5,0.0,100.0,0,0.976,20.0,0.3620741884249266,407.6412728663045,-281.46253302368854,6.0,0,20.0
Q2_2023,5,0,5,0.0,100.0,0,0.976,20.0,0.3620741884249266,407.6412728663045,-281.46253302368854,6.0,0,20.0
Q3_2023,5,0,5,0.0,100.0,0,0.976,20.0,0.3620741884249266,407.6412728663045,-281.46253302368854,6.0,0,20.0
Q4_2023,5,0,5,0.0,100.0,0,0.976,20.0,0.3620741884249266,407.6412728663045,-281.46253302368854,6.0,0,20.0
Q1_2024,5,0,5,0.0,100.0,0,0.976,20.0,0.3620741884249266,407.6412728663045,-281.46253302368854,6.0,0,20.0
