symbol,direction,entry_price,entry_time,exit_price,exit_time,profit_loss,reason
AAPL,short,172.69,2023-05-17 04:00:00+00:00,177.7048,2023-05-30 04:00:00+00:00,-285.8436000000005,stop_loss
SPY,short,439.46,2023-06-16 04:00:00+00:00,443.28,2023-06-30 04:00:00+00:00,-84.03999999999985,end_of_backtest
