Quarter,Initial Capital,Final Capital,Return (%),Win Rate (%),Profit Factor,Max Drawdown (%),Total Trades
Q1 2023,100000,99974.94915714287,-0.02505084285713383,40.0,0.9931551216235601,41.35362647838788,5
Q2 2023,100000,99260.2328,-0.7397672000000021,0.0,0.0,16.970835584183096,2
Q3 2023,100000,102466.01525714288,2.466015257142877,40.0,inf,15.968607444803629,5
Q4 2023,100000,100184.75933285714,0.18475933285713836,33.33333333333333,1.4029415543801675,0.9995393350168998,3
